name,lat,lon
New York,40.6943,-73.9249
Los Angeles,34.1141,-118.4068
Chicago,41.8375,-87.6866
Miami,25.784,-80.2101
Houston,29.786,-95.3885
Dallas,32.7935,-96.7667
Philadelphia,40.0077,-75.1339
Atlanta,33.7628,-84.422
Washington,38.9047,-77.0163
Boston,42.3188,-71.0852
Phoenix,33.5722,-112.0892
Detroit,42.3834,-83.1024
Seattle,47.6211,-122.3244
San Francisco,37.7558,-122.4449
San Diego,32.8313,-117.1222
Minneapolis,44.9635,-93.2678
Tampa,27.9945,-82.4447
Brooklyn,40.6501,-73.9496
Denver,39.762,-104.8758
Queens,40.7498,-73.7976
Riverside,33.9381,-117.3949
Las Vegas,36.2333,-115.2654
Baltimore,39.3051,-76.6144
St. Louis,38.6359,-90.2451
Portland,45.5371,-122.65
San Antonio,29.4632,-98.5238
Sacramento,38.5677,-121.4685
Austin,30.3005,-97.7522
Orlando,28.4773,-81.337
San Juan,18.3985,-66.061
San Jose,37.3012,-121.848
Indianapolis,39.7771,-86.1458
Pittsburgh,40.4397,-79.9763
Cincinnati,39.1413,-84.506
Manhattan,40.7834,-73.9662
Kansas City,39.1238,-94.5541
Cleveland,41.4764,-81.6805
Columbus,39.9862,-82.9855
Bronx,40.8501,-73.8662
Charlotte,35.2083,-80.8303
Virginia Beach,36.7335,-76.0435
Jacksonville,30.3322,-81.6749
Milwaukee,43.0642,-87.9675
Providence,41.823,-71.4187
Nashville,36.1715,-86.7842
Salt Lake City,40.7776,-111.9311
Raleigh,35.8324,-78.6429
Richmond,37.5295,-77.4756
Memphis,35.1087,-89.9663
Oklahoma City,35.4676,-97.5136
Anchorage,61.1508,-149.1091
Birmingham,33.5279,-86.7971
Little Rock,34.7256,-92.3577
Hartford,41.7661,-72.6834
Dover,39.161,-75.5202
Honolulu,21.3294,-157.846
Des Moines,41.5725,-93.6105
Boise,43.6005,-116.2308
Wichita,37.6895,-97.3443
Louisville,38.1663,-85.6485
New Orleans,30.0687,-89.9288
Portland,43.6773,-70.2715
Jackson,32.3157,-90.2125
Billings,45.7891,-108.5526
Fargo,46.8651,-96.8292
Omaha,41.2627,-96.0529
Nashua,42.7491,-71.491
Trenton,40.2237,-74.7641
Albuquerque,35.1054,-106.6465
Charleston,32.8168,-79.9687
Sioux Falls,43.5396,-96.7311
Burlington,44.4876,-73.2316
Huntington,38.4109,-82.4345
Cheyenne,41.135,-104.7902
